date,code,action,price,shares,pnl,fee,reason
2023-01-03,600050,buy,4.5206128,22000,0.0,24.8882337704,
2023-01-03,601127,buy,41.31756182,2400,0.0,24.815327629091996,
2023-01-03,600027,buy,5.78279542,17200,0.0,24.890886326306,
2023-01-03,601100,buy,59.41241328,1600,0.0,23.788730277312,
2023-01-03,600276,buy,37.97902752,2600,0.0,24.711054255887998,
2023-01-03,600161,buy,19.8933169,5000,0.0,24.891512771125,
2023-01-03,600522,buy,16.1992584,6100,0.0,24.728572929059997,
2023-01-03,600941,buy,63.1828925,1500,0.0,23.7172782721875,
2023-01-03,600809,buy,256.40183104,300,0.0,19.249367465327996,
2023-01-17,600027,sell,4.92476086,17200,-15048.246758505979,190.58824528200003,
2023-01-17,600161,sell,20.14657884,5000,940.1941035500058,226.64901195000002,
2023-01-17,600522,sell,15.42284424,6100,-5046.620389433985,211.67853719400003,
2023-01-17,600941,sell,64.4825545,1500,1637.0900398125232,217.62862143750004,
2023-01-17,600584,buy,26.33051239,3800,0.0,25.039000757270497,
2023-01-17,601136,buy,18.7774125,5400,0.0,25.374856381875,
2023-01-17,600009,buy,61.49289865,1600,0.0,24.621756619459997,
2023-01-17,600030,buy,20.10802668,5000,0.0,25.160168383349998,
2023-02-07,600050,sell,4.6031392,22000,1488.2719280000165,227.85539040000006,
2023-02-07,601100,sell,62.098536,1600,3979.181761152009,223.55472960000003,
2023-02-07,600276,sell,41.5951368,2600,9059.80710616801,243.33155028000002,
2023-02-07,600584,sell,27.00135347,3800,2218.2785847495106,230.86157216850003,
2023-02-07,601136,sell,18.357969,5400,-2589.4422508499847,223.04932335000004,
2023-02-07,600009,sell,58.9799912,1600,-4331.368526159975,212.32796832000005,
2023-02-07,600030,sell,19.4293924,5000,-3712.2921978999802,218.5806645,
2023-02-07,600377,buy,7.32717975,13800,0.0,25.304048907637497,
2023-02-07,600026,buy,14.48016106,7000,0.0,25.365622136854995,
2023-02-07,600372,buy,17.60288688,5700,0.0,25.109197917804,
2023-02-07,600066,buy,6.9496623,14500,0.0,25.2177183633375,
2023-02-07,600160,buy,15.47452725,6500,0.0,25.171252888031248,
2023-02-07,600219,buy,3.12189245,32400,0.0,25.312616173844997,
2023-02-07,601138,buy,8.5837419,11800,0.0,25.347360643604997,
2023-02-07,600183,buy,15.18963158,6600,0.0,25.087954999106998,
2023-02-21,600809,sell,271.67402537,300,4321.357782563253,183.37996712475,
2023-02-21,600377,sell,7.24724688,13800,-1429.2157021739986,225.027015624,
2023-02-21,600026,sell,14.10839826,7000,-2925.9080000149843,222.20727259500003,
2023-02-21,600372,sell,16.89215085,5700,-4368.173660867236,216.64183465125004,
2023-02-21,600160,sell,17.1810639,6500,10740.630738337524,251.27305953750005,
2023-02-21,601138,sell,9.1485836,11800,6320.949011000033,242.89489458000006,
2023-02-21,600183,sell,16.3502705,6600,7317.163786647012,242.80151692500004,
2023-02-21,600050,buy,5.0157712,20100,0.0,25.229454530279995,
2023-02-21,600415,buy,5.09285224,19800,0.0,25.234828206588,
2023-02-21,600438,buy,36.96560704,2700,0.0,24.976736536752,
2023-02-21,600941,buy,70.252,1400,0.0,24.612788199999997,
2023-02-21,600989,buy,14.87730066,6700,0.0,24.944398084105497,
2023-02-21,600031,buy,18.16855506,5500,0.0,25.006744970707498,
2023-02-21,600233,buy,17.07232992,5900,0.0,25.206868318631997,
2023-03-07,600066,sell,8.25831216,14500,18605.22543243,269.42743422,
2023-03-07,600219,sell,3.06202054,32400,-2264.2204967459984,223.22129736600002,
2023-03-07,600415,sell,4.91232203,19800,-3894.1805787884805,218.84394643650003,
2023-03-07,600438,sell,36.11622976,2700,-2612.53189079999,219.40609579200006,
2023-03-07,600941,sell,75.837034,1400,7481.80814290003,238.88665710000004,
2023-03-07,600989,sell,14.83072176,6700,-635.3296749539877,223.57313053200002,
2023-03-07,600031,sell,17.17805751,5500,-5760.242039516248,212.57846168625,
2023-03-07,600233,sell,16.5668991,5900,-3302.694170080489,219.92558555250002,
2023-03-07,600938,buy,15.65650275,6500,0.0,25.467258785718748,
2023-03-07,600028,buy,4.53744432,22400,0.0,25.435097880191996,
2023-03-07,601138,buy,9.7319447,10400,0.0,25.328359276219995,
2023-03-07,601117,buy,9.43417344,10700,0.0,25.261650365952,
2023-03-07,601006,buy,6.01607454,16900,0.0,25.4433328464315,
2023-03-07,600377,buy,7.66467409,13200,0.0,25.318717921496997,
2023-03-07,600482,buy,16.60738464,6100,0.0,25.351587837575995,
2023-03-07,600489,buy,8.70680678,11600,0.0,25.274989401662,
2023-03-21,600050,sell,5.1166368,20100,1695.181659600028,231.39989928000003,
2023-03-21,600938,sell,14.513002,6500,-7746.774797124977,212.25265425000003,
2023-03-21,600028,sell,4.80486024,22400,5646.312899136014,242.16495609600003,
2023-03-21,601117,sell,9.38810814,10700,-819.8630692784936,226.01870347050004,
2023-03-21,601006,sell,6.09998074,16900,1084.3913526355173,231.95176763850006,
2023-03-21,600377,sell,7.79789554,13200,1425.7519444740174,231.59749753800003,
2023-03-21,600482,sell,16.49967165,6100,-984.8122787002212,226.45799339625003,
2023-03-21,600489,sell,9.26374538,11600,6117.705046933988,241.783754418,
2023-03-21,600522,buy,16.61142888,6100,0.0,25.357761471041997,
2023-03-21,600584,buy,31.77616351,3200,0.0,25.446351738807998,
2023-03-21,600809,buy,253.15776785,400,0.0,25.341092561784997,
2023-03-21,600276,buy,41.1011328,2400,0.0,24.685340359679998,
2023-03-21,600161,buy,20.41618026,5000,0.0,25.545745550324995,
2023-03-21,600660,buy,31.12481295,3200,0.0,24.92475021036,
2023-03-21,600018,buy,5.03123595,20300,0.0,25.55905596869625,
2023-04-04,601127,sell,35.16093876,2400,-15064.926561671979,189.86906930400002,
2023-04-04,600522,sell,16.60184352,6100,-387.6607144799782,227.86030231200002,
2023-04-04,600276,sell,42.6325452,2400,3346.5312972000247,230.21574408000004,
2023-04-04,600161,sell,20.6694422,5000,931.6975739500194,232.53122475,
2023-04-04,600018,sell,5.03123595,20300,-331.93579180123925,229.80170201625003,
2023-04-04,600570,buy,56.45402706,1700,0.0,24.0169544620005,
2023-04-04,600460,buy,37.87683445,2600,0.0,24.6445623348925,
2023-04-04,600941,buy,85.3473985,1100,0.0,23.494005122087497,
2023-04-04,600066,buy,9.61573158,10400,0.0,25.025903010107996,
2023-04-04,600690,buy,19.85511,5000,0.0,24.8437063875,
2023-04-19,601138,sell,15.9915019,10400,64623.981510660014,374.20114446,
2023-04-19,600584,sell,33.91693578,3200,6504.585603152023,244.20193761600007,
2023-04-19,600809,sell,227.44694039,400,-10590.296337490974,204.70224635100004,
2023-04-19,600660,sell,30.52297674,3200,-2245.240705967997,219.76543252800002,
2023-04-19,600570,sell,50.43463246,1700,-10521.855135161488,192.91246915950003,
2023-04-19,600460,sell,37.61801771,2600,-991.4686971734918,220.06540360350002,
2023-04-19,600941,sell,89.290292,1100,4022.307238950001,220.9934727,
2023-04-19,600690,sell,20.69443965,5000,3864.5602539375104,232.81244606250004,
2023-04-19,600918,buy,7.4892807,14200,0.0,26.613533431485,
2023-04-19,600415,buy,7.23070999,14800,0.0,26.780380589963,
2023-04-19,600276,buy,48.07646928,2200,0.0,26.468500162104,
2023-04-19,601100,buy,67.54780288,1500,0.0,25.35575650608,
2023-04-19,600023,buy,3.819228,28000,0.0,26.761330595999997,
2023-04-19,600036,buy,29.6472925,3600,0.0,26.709245813249996,
2023-04-19,600919,buy,6.04501436,17700,0.0,26.775937731542996,
2023-04-19,600938,buy,16.404507,6500,0.0,26.683981198874996,
2023-04-19,601018,buy,3.50157626,30500,0.0,26.726218501482503,
2023-05-08,600066,sell,11.3389227,10400,17555.853248388026,265.33079118,
2023-05-08,600918,sell,7.5879537,14200,1052.3736933450127,242.43512071500004,
2023-05-08,600276,sell,45.95225208,2200,-5006.509720211994,227.46364779600003,
2023-05-08,601100,sell,56.76480128,1500,-16467.40530863998,191.58120432000004,
2023-05-08,600023,sell,4.3011782,28000,13116.69298940002,270.9742266,
2023-05-08,600036,sell,29.730806,3600,-46.90118159998383,240.8195286,
2023-05-08,600938,sell,17.126718,6500,4337.263953750022,250.47825075000003,
2023-05-08,600016,buy,3.66690276,29400,0.0,26.978687021286,
2023-05-08,600482,buy,18.85956534,5700,0.0,26.901755490109498,
2023-05-08,600150,buy,27.28660448,3900,0.0,26.631043807368,
2023-05-08,600377,buy,9.49424867,11300,0.0,26.848073745242743,
2023-05-08,600030,buy,21.09344084,5100,0.0,26.921031208070996,
2023-05-08,601088,buy,25.56019669,4200,0.0,26.8650447310245,
2023-05-08,600999,buy,14.2134135,7600,0.0,27.032491135649998,
2023-05-22,600415,sell,7.82931016,14800,8491.551979820011,260.71602832800005,
2023-05-22,600919,sell,6.19048262,17700,2221.255477486513,246.53597034150002,
2023-05-22,601018,sell,3.29074837,30500,-6762.876327821257,225.82760689125,
2023-05-22,600016,sell,3.34480995,29400,-9798.59473333649,221.25917819250003,
2023-05-22,600377,sell,8.44623993,11300,-12164.529422191219,214.74565022025004,
2023-05-22,600030,sell,19.8012468,5100,-6924.985459313975,227.21930703000004,
2023-05-22,601088,sell,24.83519899,4200,-3387.035796553493,234.69263045550002,
2023-05-22,600999,sell,13.333268,7600,-7025.126625399993,227.99888280000005,
2023-05-22,600809,buy,209.13517969,400,0.0,20.934431486969,
2023-05-22,600674,buy,14.1775895,7300,0.0,25.8999749383375,
2023-05-22,600905,buy,5.2962336,19500,0.0,25.844957938799997,
2023-05-22,601127,buy,26.65234734,3800,0.0,25.345049702972997,
2023-05-22,600875,buy,17.81033968,5800,0.0,25.850817528535995,
2023-05-22,600436,buy,303.53867964,300,0.0,22.788166373973,
2023-05-22,600276,buy,48.1159896,2100,0.0,25.286155434539996,
2023-06-05,600482,sell,18.02723769,5700,-5082.966450812237,231.19932337425,
2023-06-05,600150,sell,28.24316416,3900,3376.3312290240137,247.83376550400004,
2023-06-05,600809,sell,197.060572,400,-5090.851662675996,177.3545148,
2023-06-05,600674,sell,13.53611168,7300,-5008.615123694006,222.330634344,
2023-06-05,600905,sell,5.1342984,19500,-3486.2802974999795,225.26734230000002,
2023-06-05,600875,sell,16.90298519,5800,-5586.539968873491,220.5839567295,
2023-06-05,600436,sell,289.0201014,300,-4641.723644337006,195.08856844500002,
2023-06-05,600276,sell,45.942372,2100,-4882.7182458599855,217.07770770000002,
2023-06-05,600415,buy,8.77921128,11500,0.0,25.265472662429996,
2023-06-05,601138,buy,17.5286121,5700,0.0,25.003250514742497,
2023-06-05,600161,buy,22.09097696,4500,0.0,24.877201429079996,
2023-06-05,601100,buy,53.61654992,1800,0.0,24.151574911463996,
2023-06-05,600803,buy,16.1102172,6200,0.0,24.99580749666,
2023-06-05,600690,buy,20.62223925,4900,0.0,25.287505324331246,
2023-06-05,600346,buy,14.12376833,7100,0.0,25.094758474535748,
2023-06-05,600029,buy,5.89,17100,0.0,25.204929749999994,
2023-06-05,600570,buy,43.03373746,2300,0.0,24.769143438539494,
2023-06-19,600415,sell,8.89409736,11500,990.0942210900248,230.13476919000004,
2023-06-19,600161,sell,21.8132058,4500,-1570.238325044993,220.858708725,
2023-06-19,600803,sell,16.4589232,6200,1832.4918747200136,229.60197864000006,
2023-06-19,600690,sell,21.12764205,4900,2142.4924940737546,232.93225360125,
2023-06-19,600346,sell,13.56588413,7100,-4277.971574119743,216.71499897675002,
2023-06-19,600029,sell,6.25,17100,5814.812250000017,240.46875000000003,
2023-06-19,600183,buy,15.29667054,6700,0.0,25.6475450776545,
2023-06-19,600845,buy,43.3150496,2300,0.0,24.93105967352,
2023-06-19,600031,buy,16.0659358,6400,0.0,25.731202777279993,
2023-06-19,600809,buy,199.87705093,500,0.0,25.00961599761625,
2023-06-19,600233,buy,14.01304671,7300,0.0,25.599384055995746,
2023-07-05,601138,sell,22.0936442,5700,25637.41889416502,283.35098686500004,
2023-07-05,600570,sell,42.555724,2300,-1418.6344258579775,220.2258717,
2023-07-05,600183,sell,14.51806906,6700,-5537.977499697488,218.85989107950002,
2023-07-05,600845,sell,39.724,2300,-8564.610394079995,205.57170000000002,
2023-07-05,600031,sell,15.90384624,6400,-1369.2105589759594,229.01538585600002,
2023-07-05,600233,sell,14.48871021,7300,3132.0712438177725,237.97706519925003,
2023-07-05,600111,buy,26.35010631,3900,0.0,25.71704500590225,
2023-07-05,600276,buy,48.77158986,2100,0.0,25.630689761176498,
2023-07-05,600010,buy,1.91,54600,0.0,26.097571499999997,
2023-07-05,600760,buy,44.469754,2300,0.0,25.595678658550003,
2023-07-05,600161,buy,21.04525024,4900,0.0,25.806211975543995,
2023-07-05,600660,buy,33.31724825,3100,0.0,25.846688261143743,
2023-07-19,601127,sell,42.40460602,3800,59394.74468263704,362.55938147100005,
2023-07-19,601100,sell,66.76788012,1800,23305.474655658036,270.40991448600005,
2023-07-19,600111,sell,23.86330881,3900,-10010.676199416746,209.40053480775,
2023-07-19,600276,sell,46.29285486,2100,-5526.497577919494,218.7337392135,
2023-07-19,600010,sell,1.81,54600,-5786.644499999995,222.35850000000002,
2023-07-19,600760,sell,43.9604088,2300,-1501.2695097399992,227.49511554000006,
2023-07-19,600161,sell,20.30916828,4900,-3933.8319104629772,223.90858028700004,
2023-07-19,600660,sell,33.81118228,3100,1192.0790270220168,235.832996403,
2023-07-19,600050,buy,4.8359195,22600,0.0,27.350268120175,
2023-07-19,600584,buy,34.89169404,3100,0.0,27.068103943881,
2023-07-19,601136,buy,14.7780675,7400,0.0,27.366764299874998,
2023-07-19,600489,buy,10.70405432,10200,0.0,27.322633854515995,
2023-07-19,600887,buy,24.62833776,4400,0.0,27.118262707535997,
2023-07-19,600160,buy,14.70806991,7400,0.0,27.237139262833498,
2023-07-19,601138,buy,23.2325873,4700,0.0,27.3255883675775,
2023-07-19,601059,buy,14.30193944,7600,0.0,27.200858620936,
2023-08-02,600050,sell,4.715715,22600,-3065.707588449979,239.79410775000005,
2023-08-02,600584,sell,33.10542984,3100,-5876.493644657996,230.910373134,
2023-08-02,600489,sell,10.16123306,10200,-5879.158504790976,233.20029872700005,
2023-08-02,600887,sell,25.541503,4400,3656.7014901560033,252.86087970000003,
2023-08-02,600160,sell,14.35436883,7400,-2965.2279503534955,239.0002410195,
2023-08-02,601138,sell,21.18130056,4700,-9974.233091731978,223.99225342200003,
2023-08-02,600030,buy,22.1718186,4700,0.0,26.077938741855,
2023-08-02,600918,buy,7.8346362,13500,0.0,26.468339072175002,
2023-08-02,601127,buy,42.493546,2400,0.0,25.5216237276,
2023-08-02,600585,buy,24.76332368,4200,0.0,26.027491353863997,
2023-08-02,600999,buy,14.11478112,7500,0.0,26.491679814599998,
2023-08-02,600018,buy,4.92245247,21500,0.0,26.484640208276247,
2023-08-16,600809,sell,213.08397,500,6263.801543285008,239.71946625000004,
2023-08-16,600030,sell,22.32056036,4700,358.83879877300933,236.03992580700003,
2023-08-16,600918,sell,8.0019472,13500,1909.8717651000043,243.05914620000004,
2023-08-16,601127,sell,35.49693424,2400,-17085.53617929599,191.68344489600005,
2023-08-16,600585,sell,23.50167424,4200,-5625.024429023979,222.09082156800002,
2023-08-16,600999,sell,14.40883906,7500,1856.4245324625226,243.14915913750002,
2023-08-16,600018,sell,4.83058731,21500,-2314.613329226224,233.67966112125006,
2023-08-16,600803,buy,16.5623655,6200,0.0,25.69733819152499,
2023-08-16,600160,buy,16.00497387,6400,0.0,25.633566150191996,
2023-08-16,600941,buy,86.47395204,1100,0.0,23.804117147811,
2023-08-16,600938,buy,16.25930658,6300,0.0,25.634016271363496,
2023-08-16,600025,buy,6.96424689,14800,0.0,25.793481206493,
2023-08-16,600115,buy,4.65,22200,0.0,25.833307500000004,
2023-08-16,600009,buy,44.90966505,2300,0.0,25.848880461153747,
2023-08-16,600377,buy,8.92031172,11600,0.0,25.894772891988,
2023-08-30,601136,sell,24.290474,7400,69878.01400840002,404.4363921000001,
2023-08-30,601059,sell,20.23472285,7600,44634.44541552101,346.01376073500006,
2023-08-30,600803,sell,15.6671025,6200,-5871.873345974964,218.55607987500002,
2023-08-30,600160,sell,15.73969806,6400,-2026.8486688319826,226.65165206400005,
2023-08-30,600941,sell,88.41869736,1100,1825.2622287900158,218.83627596600002,
2023-08-30,600938,sell,16.92713133,6300,3864.9202069432795,239.94208660275007,
2023-08-30,600025,sell,6.91608474,14800,-1046.176295813988,230.30562184200002,
2023-08-30,600115,sell,4.37,22200,-6537.511500000008,218.28150000000002,
2023-08-30,600009,sell,38.51495115,2300,-15010.449071816227,199.31487220125004,
2023-08-30,600377,sell,8.94830433,11600,-12.312082964999718,233.55074301300002,
2023-08-30,601127,buy,36.25786518,3100,0.0,28.127945360014504,
2023-08-30,601100,buy,61.33351131,1800,0.0,27.6276801695895,
2023-08-30,600809,buy,228.67548,400,0.0,22.890415547999996,
2023-08-30,600066,buy,10.69598141,10600,0.0,28.372695087236497,
2023-08-30,600547,buy,25.89100836,4300,0.0,27.860666820987,
2023-08-30,600584,buy,32.24206881,3500,0.0,28.24002201895875,
2023-08-30,600039,buy,7.94282736,14200,0.0,28.225234165127997,
2023-08-30,600276,buy,41.7914721,2700,0.0,28.237452911167498,
2023-08-30,600989,buy,13.01140913,8700,0.0,28.328114672607747,
2023-09-13,601100,sell,62.55843165,1800,1841.0946434595098,253.36164818250003,
2023-09-13,600066,sell,12.0209143,10600,13644.212424999001,286.69880605500003,
2023-09-13,600547,sell,25.63544032,4300,-1458.2967930439918,248.02288509600004,
2023-09-13,600584,sell,30.90237066,3500,-5045.146934782504,243.3561689475,
2023-09-13,600039,sell,7.00421008,14200,-13664.938036567983,223.784512056,
2023-09-13,600989,sell,13.6615085,8700,5275.2412306815095,267.4240288875,
2023-09-13,600415,buy,9.334494,12500,0.0,29.199464043749995,
2023-09-13,600938,buy,17.46139113,6700,0.0,29.277077972892744,
2023-09-13,600018,buy,4.76543488,24500,0.0,29.217476928639996,
2023-09-13,600027,buy,5.10603149,22900,0.0,29.26126231053025,
2023-09-13,600436,buy,259.6301157,400,0.0,25.988974581569995,
